Neuron class	Class member	Lineage	Neurotransmitter identity	"Reporter transgene expressed in this cell (based on manually curated Wormbase dataset as of July 15th, 2016)"																																																																																																																																												
	AIAR	AB.prppaappa	ACh	acc-4	ace-3	ace-4	cho-1	cng-1	cog-1	dkf-1	flp-1	flp-2	flr-2	gcy-28	glr-2	gpa-2	ins-1	mgl-1	mod-1	mps-4	npr-11	npr-5	ntr-2	pnc-1	scd-2	sra-11	srab-4	ttx-3	unc-103	unc-17																																																																																																																		
AIB	AIBL	AB.plaapappa	Glu	add-1	aptf-1	eat-4	ggr-1	glr-1	glr-2	glr-5	inx-1	mod-1	ncam-1	npr-9	odr-2	rig-1	rig-6	ser-4	snet-1	tab-1	unc-42	unc-47	tax-6	wrk-1	hst-6																																																																																																																							
	AIBR	AB.praapappa	Glu	add-1	aptf-1	eat-4	ggr-1	glr-1	glr-2	glr-5	inx-1	mod-1	ncam-1	npr-9	odr-2	rig-1	rig-6	ser-4	snet-1	tab-1	unc-42	unc-47	tax-6	wrk-1	hst-6																																																																																																																							
AIM	AIML	AB.plpaapppa	Glu	bas-1	C32B5.6	cam-1	cat-1	cat-4	ceh-14	coel-1	dkf-2	eat-4	flp-10	flp-22	gcy-18	ins-1	inx-19	mbr-1	mls-2	mod-5	nlp-37	pdf-1	poml-1	snet-1	sox-2	tax-6	top-1	tph-1	tyra-3	unc-86	vab-2	zig-3																																																																																																																
	AIMR	AB.prpaapppa	Glu	bas-1	C32B5.6	cam-1	cat-1	cat-4	ceh-14	coel-1	dkf-2	eat-4	flp-10	flp-22	gcy-18	ins-1	inx-19	mbr-1	mls-2	mod-5	nlp-37	pdf-1	poml-1	snet-1	sox-2	tax-6	top-1	tph-1	tyra-3	unc-86	vab-2	zig-3																																																																																																																
AIN	AINL	AB.alaaaalal	ACh	acc-4	cam-1	ceh-10	che-7	flp-19	inx-17	inx-8	mbr-1	ncam-1	nhr-67	rig-1	syg-1	ttx-3	unc-103	unc-7	unc-9	wrk-1	cho-1	sox-2	unc-17	unc-47																																																																																																																								
	AINR	AB.alaapaaar	ACh	acc-4	cam-1	ceh-10	che-7	flp-19	inx-17	inx-8	mbr-1	ncam-1	nhr-67	rig-1	syg-1	ttx-3	unc-103	unc-7	unc-9	wrk-1	cho-1	sox-2	unc-17	unc-47																																																																																																																								
AIY	AIYL	AB.plpapaaap	ACh	acc-4	abi-1	acr-14	aho-3	B0207.7	bus-18	C16B8.4	cam-1	ceh-10	ceh-23	cho-1	ckr-2	cnb-1	coel-1		des-2	dkf-2	drn-1	F16C3.1	F17C11.2	F48E3.8	F54E4.4	F55C12.5	fax-1	flp-1	flp-18	gar-2	gcy-1	glc-3	hen-1	hlh-16	inx-1	inx-18	inx-19	inx-7	jnk-1	kal-1	kin-29	lat-1	ldb-1	lgc-27	lgc-35	lgc-38	lgc-46	M02B1.2	mgl-1	mig-10	mod-1	ncs-1	ncx-1	nhx-1	nlg-1	nlp-15	npr-11	npr-14	npr-35	pkc-1	pll-1	R10H10.4	ser-2	siah-1	sra-11	T19C4.5	tax-6	top-1	tpst-1	trx-2	ttx-3	unc-17	unc-9	unc-47	vab-2	wrk-1	Y40C5A.4	ZK757.1																																																																		
	AIYR	AB.prpapaaap	ACh	acc-4	abi-1	acr-14	aho-3	B0207.7	bus-18	C16B8.4	cam-1	ceh-10	ceh-23	cho-1	ckr-2	cnb-1	coel-1		des-2	dkf-2	drn-1	F16C3.1	F17C11.2	F48E3.8	F54E4.4	F55C12.5	fax-1	flp-1	flp-18	gar-2	gcy-1	glc-3	hen-1	hlh-16	inx-1	inx-18	inx-19	inx-7	jnk-1	kal-1	kin-29	lat-1	ldb-1	lgc-27	lgc-35	lgc-38	lgc-46	M02B1.2	mgl-1	mig-10	mod-1	ncs-1	ncx-1	nhx-1	nlg-1	nlp-15	npr-11	npr-14	npr-35	pkc-1	pll-1	R10H10.4	ser-2	siah-1	sra-11	T19C4.5	tax-6	top-1	tpst-1	trx-2	ttx-3	unc-17	unc-9	unc-47	vab-2	wrk-1	Y40C5A.4	ZK757.1																																																																		
AIZ	AIZL	AB.plapaaapav	Glu	cam-1	cnb-1	coel-1	eat-4	flp-22	gpa-3	gtr-1	inx-19	kal-1	kin-29	lin-11	madd-4	mod-1	ntc-1	odr-2	pkc-1	ser-2	tax-6	unc-86	npr-2	acc-2																																																																																																																								
